T,X,Y,Z,Device
1336662164638,1.8387468999999996,7.0485296,8.427589999999999,89
1336662164719,1.685518,6.435614,7.967903,89
1336662164928,1.685518,6.129156,7.6614455999999995,89
1336662165129,1.3790601,5.975927400000001,7.5082164,89
1336662165342,1.2258313,5.8226986,7.8146744,89
1336662165550,1.685518,5.975927400000001,7.6614455999999995,89
1336662165749,1.532289,5.975927400000001,7.6614455999999995,89
1336662166360,1.3790601,5.975927400000001,7.6614455999999995,89
1336662166361,1.532289,6.129156,7.8146744,89
1336662166363,1.532289,5.975927400000001,7.8146744,89
1336662166548,1.532289,6.129156,7.8146744,89
1336662166748,1.685518,6.129156,7.6614455999999995,89
1336662166987,2.1452047999999997,6.435614,9.040505,89
1336662167159,6.435614,7.201759,6.129156,89
1336662167357,0.0,3.9839516,-4.596867,89
1336662167557,0.30645782,0.30645782,-12.411541999999999,89
1336662167758,1.3790601,1.3790601,-13.484144,89
1336662167957,3.5242648,6.895301,8.121132000000001,89
1336662168157,-1.0726023999999998,6.435614,7.6614455999999995,89
1336662168357,0.61291564,7.6614455999999995,7.5082164,89
1336662168557,-0.45968673,6.895301,7.0485296,89
1336662168759,-0.7661445,7.5082164,7.0485296,89
1336662168956,-0.45968673,7.3549875999999985,6.895301,89
1336662169241,-0.61291564,7.201759,7.0485296,89
1336662169358,-0.45968673,7.3549875999999985,7.0485296,89
1336662169558,-0.30645782,7.6614455999999995,6.588842999999999,89
1336662169758,-0.30645782,7.3549875999999985,6.895301,89
1336662169958,-0.30645782,7.5082164,6.742072,89
1336662170159,-0.45968673,7.3549875999999985,6.588842999999999,89
1336662170423,-0.45968673,7.3549875999999985,6.588842999999999,89
1336662170569,-0.30645782,7.5082164,6.742072,89
1336662170768,-0.61291564,7.3549875999999985,6.742072,89
1336662170968,-0.45968673,7.3549875999999985,6.588842999999999,89
1336662171204,-0.30645782,7.201759,7.0485296,89
1336662171376,-0.15322891,7.0485296,7.3549875999999985,89
1336662171580,-0.15322891,7.0485296,7.5082164,89
1336662171777,-0.45968673,6.742072,7.0485296,89
1336662171977,0.15322891,6.588842999999999,7.5082164,89
1336662172177,-0.30645782,6.129156,7.8146744,89
